id,id2,label,HC01_EST_VC01,HC02_EST_VC01,HC01_EST_VC03,HC02_EST_VC03,HC01_EST_VC04,HC02_EST_VC04,HC01_EST_VC05
400C100US00199,199,"Aberdeen--Bel Air South--Bel Air North, MD Urbanized Area (2010)",56716,24020,43536,17955,57.7,73.5,18.3
400C100US00280,280,"Abilene, TX Urbanized Area (2010)",28030,11505,19916,7043,55,59.8,21.4
400C100US00766,766,"Akron, OH Urbanized Area (2010)",142038,56566,97390,32876,53.2,69.7,19.3
400C100US00901,901,"Albany, GA Urbanized Area (2010)",21753,9488,10986,4051,50.8,67.8,20.8
400C100US00970,970,"Albany--Schenectady, NY Urbanized Area (2010)",133450,53104,95289,34275,59.2,76.8,17
400C100US01171,1171,"Albuquerque, NM Urbanized Area (2010)",181199,81963,122033,49715,49.6,63.5,23.1
400C100US01279,1279,"Alexandria, LA Urbanized Area (2010)",18598,8147,11360,4444,44.6,62.1,26.4
400C100US01495,1495,"Allentown, PA--NJ Urbanized Area (2010)",166026,67840,124196,45530,56.2,72.7,17.3
400C100US01765,1765,"Alton, IL--MO Urbanized Area (2010)",20444,7813,13825,4791,51.2,72.8,19.1
400C100US01792,1792,"Altoona, PA Urbanized Area (2010)",18423,6961,13650,5082,53.6,75.5,18.8
400C100US01927,1927,"Amarillo, TX Urbanized Area (2010)",50334,23105,34341,15040,54.8,69.7,23.7
400C100US02305,2305,"Anchorage, AK Urbanized Area (2010)",59386,28057,43078,19235,58.5,60.1,24.3
400C100US02386,2386,"Anderson, IN Urbanized Area (2010)",22833,9675,16004,5950,45.7,52.7,23.7
400C100US02413,2413,"Anderson, SC Urbanized Area (2010)",19949,7789,13877,4442,48.3,74,19.6
400C100US02602,2602,"Ann Arbor, MI Urbanized Area (2010)",67579,30997,47671,20687,54.6,65.6,22
400C100US02629,2629,"Anniston--Oxford, AL Urbanized Area (2010)",20529,8749,13606,4873,50.1,64.2,20.6
400C100US02683,2683,"Antioch, CA Urbanized Area (2010)",69831,34263,48312,22305,50.3,64.6,23.8
400C100US02764,2764,"Appleton, WI Urbanized Area (2010)",56310,24937,43592,17722,60.9,74,16.7
400C100US03358,3358,"Asheville, NC Urbanized Area (2010)",67792,24164,53788,16436,48.3,73.3,19.1
400C100US03763,3763,"Athens-Clarke County, GA Urbanized Area (2010)",23360,9092,15755,5668,53,66.7,20.4
400C100US03817,3817,"Atlanta, GA Urbanized Area (2010)",1129544,565648,776139,362667,55.5,63.9,24.7
400C100US03898,3898,"Atlantic City, NJ Urbanized Area (2010)",59932,24520,39923,14029,54.8,75.3,14.7
400C100US04033,4033,"Auburn, AL Urbanized Area (2010)",16227,7745,9303,3645,52.6,67.5,23.5
400C100US04222,4222,"Augusta-Richmond County, GA--SC Urbanized Area (2010)",94651,38185,63883,21274,43.8,60,25.4
400C100US04384,4384,"Austin, TX Urbanized Area (2010)",337211,173003,251792,120995,55.7,61.2,26.7
400C100US04549,4549,"Avondale--Goodyear, AZ Urbanized Area (2010)",51302,25337,37965,17478,52.5,62.3,25.2
400C100US04681,4681,"Bakersfield, CA Urbanized Area (2010)",127724,68925,83289,42720,48.9,56.3,29.2
400C100US04843,4843,"Baltimore, MD Urbanized Area (2010)",526289,230477,348987,144589,59.1,72.4,20.3
400C100US05167,5167,"Barnstable Town, MA Urbanized Area (2010)",64956,21195,52396,15079,47.8,71.1,18.1
400C100US05680,5680,"Baton Rouge, LA Urbanized Area (2010)",145945,62964,98254,36315,56,71.6,22.1
400C100US05707,5707,"Battle Creek, MI Urbanized Area (2010)",17128,8208,11395,4658,46.1,58.9,23.6
400C100US05869,5869,"Bay City, MI Urbanized Area (2010)",17151,7230,11003,3733,46.9,66.5,19.9
400C100US06058,6058,"Beaumont, TX Urbanized Area (2010)",35848,17170,22521,9219,46.8,63.1,27.8
400C100US06652,6652,"Bellingham, WA Urbanized Area (2010)",25781,11399,18835,7535,56.8,67.8,17.3
400C100US06760,6760,"Beloit, WI--IL Urbanized Area (2010)",17441,8753,10973,4398,58.1,77.8,15.1
400C100US06868,6868,"Bend, OR Urbanized Area (2010)",22867,8647,18146,5652,54.4,72,16.2
400C100US07705,7705,"Billings, MT Urbanized Area (2010)",27756,12555,20398,8013,61.8,78.4,15.7
400C100US07732,7732,"Binghamton, NY--PA Urbanized Area (2010)",35607,14564,24505,8361,49.7,70.3,19.6
400C100US07786,7786,"Birmingham, AL Urbanized Area (2010)",188010,81523,127053,50669,50.5,66.4,25.4
400C100US07921,7921,"Bismarck, ND Urbanized Area (2010)",23196,11225,17380,7206,59.8,76.9,14.9
400C100US08002,8002,"Blacksburg, VA Urbanized Area (2010)",13429,6138,11221,4936,60.6,73.9,17
400C100US08380,8380,"Bloomington, IN Urbanized Area (2010)",18669,9371,12234,5382,58.6,75.7,21.8
400C100US08407,8407,"Bloomington--Normal, IL Urbanized Area (2010)",29513,15583,21949,10708,57.4,67.7,21.4
400C100US08785,8785,"Boise City, ID Urbanized Area (2010)",96016,41830,75174,30238,52.5,70.4,21.8
400C100US08974,8974,"Bonita Springs, FL Urbanized Area (2010)",90495,22583,75296,15103,31.8,69.2,16.4
400C100US09271,9271,"Boston, MA--NH--RI Urbanized Area (2010)",1005996,449022,741600,318591,61.2,72.9,18.6
400C100US09298,9298,"Boulder, CO Urbanized Area (2010)",23063,9795,18863,7794,58.6,68.3,20.4
400C100US09379,9379,"Bowling Green, KY Urbanized Area (2010)",18278,8955,12676,5092,54.4,60,26.2
400C100US09946,9946,"Bremerton, WA Urbanized Area (2010)",51406,23060,40410,16405,42.9,54,30.3
400C100US10162,10162,"Bridgeport--Stamford, CT--NY Urbanized Area (2010)",235164,110172,177224,80236,54.8,63.3,25.4
400C100US10351,10351,"Bristol--Bristol, TN--VA Urbanized Area (2010)",17835,6715,12653,3574,40.6,60.8,20.4
400C100US10972,10972,"Brownsville, TX Urbanized Area (2010)",50621,27768,30105,16366,41.9,52.6,29.1
400C100US11350,11350,"Buffalo, NY Urbanized Area (2010)",227154,93616,152310,54640,51.9,69.4,17.4
